code;name;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
535010;Běleč;262;181;181;23;0;0;19;0;13;11;1;2;0;0;0;22;0;0;11;61;0;0;6;0;1;1;1;8;1
532070;Běloky;135;102;102;12;0;0;10;0;6;12;1;0;3;0;0;16;0;0;8;21;0;0;3;0;0;0;0;9;0
532088;Beřovice;272;152;152;21;0;0;12;0;13;6;3;3;2;1;0;18;0;0;5;50;0;1;0;0;0;0;0;17;0
535125;Bílichov;155;99;99;7;0;0;9;0;10;14;0;0;4;0;0;8;0;0;4;33;0;0;1;0;0;0;0;8;1
532100;Blevice;243;172;172;11;1;0;19;0;13;40;3;3;2;0;0;22;0;0;8;26;0;1;4;0;2;0;1;14;1
532118;Brandýsek;1 438;894;892;99;1;1;70;1;49;83;14;7;13;3;0;128;0;0;28;266;0;2;10;0;4;1;2;98;3
532126;Braškov;847;625;625;90;0;0;35;0;40;54;11;5;7;0;0;101;0;0;51;164;0;2;13;0;3;0;2;41;0
532142;Bratronice;749;489;489;75;0;0;23;3;34;54;2;9;10;0;0;51;0;1;19;137;0;1;8;0;3;1;0;55;1
532169;Buštěhrad;2 508;1 645;1 643;246;0;3;87;2;118;115;18;8;35;2;1;242;0;1;125;427;0;3;56;2;8;3;3;127;7
532185;Cvrčovice;568;354;354;53;1;0;22;1;20;45;2;3;5;0;0;41;0;0;19;88;0;0;7;0;4;0;0;41;1
532207;Černuc;810;418;418;36;2;0;23;0;21;40;10;5;4;1;0;50;0;2;10;128;0;5;5;0;3;0;0;63;6
532223;Doksy;1 263;811;809;131;2;0;33;2;53;61;14;8;24;0;1;108;0;0;44;222;0;3;14;0;5;2;0;78;1
513130;Dolany;188;131;131;16;0;0;9;0;20;6;1;2;1;0;0;14;3;0;10;27;0;1;2;0;3;0;0;12;2
512991;Drnek;141;100;100;13;0;0;4;0;16;15;0;1;1;1;0;7;0;0;2;19;0;0;4;0;0;0;0;17;0
532274;Družec;830;564;564;92;1;1;43;2;42;40;3;4;10;1;0;66;0;0;39;156;0;4;8;0;1;0;0;48;2
532282;Dřetovice;366;226;226;19;0;0;16;0;7;34;4;2;4;1;1;24;0;0;9;59;0;1;0;0;1;1;0;41;0
532291;Dřínov;255;140;140;11;1;1;7;0;12;17;0;0;1;0;0;8;0;0;1;55;0;0;4;0;0;0;1;21;0
513075;Hobšovice;282;141;141;14;0;0;7;0;5;11;2;0;1;0;1;20;0;0;2;47;0;1;5;0;1;0;3;21;0
532312;Horní Bezděkov;482;381;381;78;0;0;18;0;22;31;2;3;2;0;1;60;0;0;23;95;0;0;15;0;2;0;0;29;0
532321;Hořešovice;214;144;143;34;0;0;10;0;8;11;1;0;1;0;0;6;0;0;9;54;0;1;1;0;0;0;0;6;0
535150;Hořešovičky;99;60;60;4;0;0;6;0;1;11;0;0;3;0;0;3;0;0;1;20;0;0;1;0;0;0;0;10;0
532339;Hospozín;415;192;192;19;1;0;10;0;19;31;1;0;5;0;0;12;0;1;4;60;0;1;4;0;0;0;1;22;0
532347;Hostouň;915;573;573;85;0;0;28;1;36;40;9;5;8;1;2;68;0;1;39;164;0;2;15;0;5;1;1;55;2
532355;Hradečno;409;264;264;41;0;0;9;0;15;17;1;1;2;0;0;43;0;0;20;84;0;0;6;0;1;0;1;21;1
532363;Hrdlív;392;251;251;26;0;0;18;0;8;23;1;4;8;0;0;22;0;0;9;95;0;1;10;0;1;1;0;23;0
532371;Hřebeč;1 528;979;961;142;1;1;37;0;65;43;7;5;21;1;1;140;1;0;57;313;0;2;14;1;5;0;2;86;1
532398;Chržín;204;124;124;8;0;0;12;1;11;13;3;0;1;0;0;14;0;1;2;42;0;0;0;0;1;0;1;14;0
532401;Jarpice;228;137;137;12;0;0;5;1;9;28;1;4;0;0;0;13;0;0;5;44;0;0;6;0;0;0;0;9;0
532410;Jedomělice;305;203;202;23;0;0;14;0;28;22;1;3;6;0;0;17;0;1;8;48;0;1;2;0;3;0;3;22;0
532428;Jemníky;204;142;142;22;0;0;5;0;16;15;1;0;0;0;1;17;0;0;6;34;0;0;7;0;1;0;0;17;0
532444;Kačice;990;612;612;70;0;0;37;0;38;64;7;4;9;2;0;77;1;0;13;209;0;1;3;0;5;0;0;68;4
532452;Kamenné Žehrovice;1 426;930;928;107;2;0;58;1;39;93;12;9;11;1;0;114;1;0;43;307;1;4;10;0;6;5;0;99;0
513032;Kamenný Most;356;197;196;25;0;0;8;0;13;32;3;1;2;0;0;21;2;1;6;54;0;0;4;1;0;1;0;21;1
532053;Kladno;53 652;29 228;29 194;3297;49;13;2001;42;1285;2482;433;203;594;16;35;3480;12;17;1548;8851;19;68;664;9;224;39;46;3527;80
532461;Klobuky;822;434;434;24;0;0;62;0;14;51;5;1;13;0;0;45;0;0;10;129;1;5;8;0;0;2;3;56;1
532479;Kmetiněves;228;137;137;16;1;0;4;0;9;12;2;3;1;0;0;19;0;0;4;35;0;0;2;0;0;1;0;26;1
532487;Knovíz;446;276;276;44;0;0;23;0;18;20;5;3;3;1;1;18;0;0;11;73;0;2;4;0;3;0;0;44;2
532495;Koleč;484;270;270;22;0;0;26;0;10;35;7;0;3;0;0;33;0;0;6;80;1;0;5;0;5;0;1;33;2
535109;Královice;173;124;124;19;0;0;5;0;5;18;1;0;6;0;0;9;0;0;2;30;0;0;6;0;1;0;0;22;0
571512;Kutrovice;89;52;52;4;0;0;6;0;5;8;0;0;3;0;0;10;0;0;1;10;0;0;0;0;0;0;0;5;0
532517;Kvílice;63;39;39;3;0;0;2;0;0;9;0;0;0;0;0;4;0;0;0;14;0;0;2;0;0;0;0;4;1
532525;Kyšice;496;338;338;49;0;0;13;0;16;33;2;1;18;0;0;54;1;1;24;87;0;0;6;0;4;1;0;27;1
541991;Lány;1 626;1 046;1 046;168;1;0;69;1;70;107;11;13;18;1;5;119;1;4;59;285;1;0;19;2;8;2;1;64;3
532533;Ledce;380;247;245;14;0;0;11;0;22;42;2;3;4;0;0;25;1;0;10;63;0;0;7;0;3;0;0;37;0
513041;Lhota;495;363;363;55;2;0;23;0;17;46;4;1;1;1;1;48;0;1;14;101;0;2;9;0;2;2;1;30;1
564150;Libochovičky;49;40;40;7;0;0;0;0;2;3;0;0;0;0;0;7;0;0;1;12;0;0;1;0;0;0;0;7;0
571601;Libovice;266;180;180;22;2;0;15;0;7;13;3;2;3;0;0;28;0;4;6;42;0;0;9;0;0;1;0;21;2
